dt,averagetemperature,averagetemperatureuncertainty,city,country,latitude,longitude
1920-07-01,24.666,0.645,Abidjan,Côte D'Ivoire,5.63N,3.23W
1920-08-01,24.335,0.91,Abidjan,Côte D'Ivoire,5.63N,3.23W
1924-07-01,24.225,1.36,Abidjan,Côte D'Ivoire,5.63N,3.23W
1924-08-01,23.941999999999997,0.585,Abidjan,Côte D'Ivoire,5.63N,3.23W
1928-07-01,24.891,0.523,Abidjan,Côte D'Ivoire,5.63N,3.23W
1928-08-01,24.213,0.461,Abidjan,Côte D'Ivoire,5.63N,3.23W
1932-07-01,23.665000000000006,0.608,Abidjan,Côte D'Ivoire,5.63N,3.23W
1932-08-01,23.555,0.581,Abidjan,Côte D'Ivoire,5.63N,3.23W
1936-07-01,23.866,0.639,Abidjan,Côte D'Ivoire,5.63N,3.23W
1936-08-01,23.163,0.693,Abidjan,Côte D'Ivoire,5.63N,3.23W
1948-07-01,24.343000000000004,0.377,Abidjan,Côte D'Ivoire,5.63N,3.23W
1948-08-01,24.061999999999998,0.271,Abidjan,Côte D'Ivoire,5.63N,3.23W
1952-07-01,24.784,0.261,Abidjan,Côte D'Ivoire,5.63N,3.23W
1952-08-01,23.763,0.185,Abidjan,Côte D'Ivoire,5.63N,3.23W
1956-07-01,23.825000000000006,0.332,Abidjan,Côte D'Ivoire,5.63N,3.23W
1956-08-01,23.476999999999997,0.214,Abidjan,Côte D'Ivoire,5.63N,3.23W
1960-07-01,24.706,0.4,Abidjan,Côte D'Ivoire,5.63N,3.23W
1960-08-01,24.444000000000003,0.557,Abidjan,Côte D'Ivoire,5.63N,3.23W
1964-07-01,24.256999999999998,0.386,Abidjan,Côte D'Ivoire,5.63N,3.23W
1964-08-01,23.84,0.484,Abidjan,Côte D'Ivoire,5.63N,3.23W
1968-07-01,25.069000000000006,0.263,Abidjan,Côte D'Ivoire,5.63N,3.23W
1968-08-01,25.116,0.273,Abidjan,Côte D'Ivoire,5.63N,3.23W
1972-07-01,24.735,0.183,Abidjan,Côte D'Ivoire,5.63N,3.23W
1972-08-01,23.895,0.339,Abidjan,Côte D'Ivoire,5.63N,3.23W
1976-07-01,24.194000000000006,0.422,Abidjan,Côte D'Ivoire,5.63N,3.23W
1976-08-01,23.839000000000002,0.385,Abidjan,Côte D'Ivoire,5.63N,3.23W
1980-07-01,24.706999999999997,0.423,Abidjan,Côte D'Ivoire,5.63N,3.23W
1980-08-01,24.805999999999997,0.265,Abidjan,Côte D'Ivoire,5.63N,3.23W
1984-07-01,24.819000000000006,0.442,Abidjan,Côte D'Ivoire,5.63N,3.23W
1984-08-01,25.01,0.245,Abidjan,Côte D'Ivoire,5.63N,3.23W
1988-07-01,25.116,0.393,Abidjan,Côte D'Ivoire,5.63N,3.23W
1988-08-01,24.59,0.306,Abidjan,Côte D'Ivoire,5.63N,3.23W
1992-07-01,24.16,0.35,Abidjan,Côte D'Ivoire,5.63N,3.23W
1992-08-01,24.011999999999997,0.35100000000000003,Abidjan,Côte D'Ivoire,5.63N,3.23W
1996-07-01,24.866999999999997,0.191,Abidjan,Côte D'Ivoire,5.63N,3.23W
1996-08-01,24.671999999999997,0.525,Abidjan,Côte D'Ivoire,5.63N,3.23W
2000-07-01,24.87,0.41,Abidjan,Côte D'Ivoire,5.63N,3.23W
2000-08-01,24.884,0.922,Abidjan,Côte D'Ivoire,5.63N,3.23W
2004-07-01,24.968000000000004,0.412,Abidjan,Côte D'Ivoire,5.63N,3.23W
2004-08-01,24.656,0.184,Abidjan,Côte D'Ivoire,5.63N,3.23W
2008-07-01,25.651999999999997,0.136,Abidjan,Côte D'Ivoire,5.63N,3.23W
